subject,session_idx,session_name,n_eligible_frames,t0_prelog_order0,t0_prelog_order1,t0_prelog_order2,t1_prelog_order0,t1_prelog_order1,t1_prelog_order2,t2_prelog_order0,t2_prelog_order1,t2_prelog_order2,all_variants_finite,wst_seconds
7,1,10am,100,-0.10679989108993129,0.0007163696120311742,1.5733239894582179e-06,-0.09925870660414832,0.0010510503282062172,4.840616510423697e-06,-0.09020342662059189,0.0012106054442063297,8.29889498845232e-06,True,11.113956200002576
7,2,12pm,100,-0.1259204288856682,0.0007280872923216206,1.6533021796063963e-06,-0.11823599725522241,0.0010741039682985874,5.043449657577352e-06,-0.10943900087879815,0.001247064427385613,8.62553796727879e-06,True,10.086727800007793
7,3,2pm,100,-0.0690249929077657,0.0007967209954527142,1.0365622873441817e-06,-0.0599242211889959,0.0010993116176115667,3.21411411304278e-06,-0.04794926646125545,0.0011829371574798128,5.442769612320285e-06,True,8.851427200002945
7,4,4pm,100,-0.06620915016528772,0.0008808189820826183,1.2964068208137115e-06,-0.0551237322489794,0.001229460346887035,3.988565812474716e-06,-0.041102332458806595,0.0013604505292696318,6.805298456048516e-06,True,10.02915750000102
8,0,8am,74,-0.06033609974945159,0.0007607884018025672,1.8167719633317897e-06,-0.05761289343285895,0.0011080497850973565,5.607358111810758e-06,-0.0534688644772951,0.0012771858475304127,9.6549690376153e-06,True,6.846875200004433
8,1,10am,100,-0.14668597298234584,0.0008695025126554798,1.6135110734220455e-06,-0.13813860327204286,0.0012695803370150775,4.968011125998177e-06,-0.12834483171411554,0.0014039665637817964,8.521811972611527e-06,True,10.969582800011267
8,2,12pm,88,-0.0721896308040651,0.0006648390730092834,1.7142753592773452e-06,-0.06587546179278202,0.0009960375587344404,5.278515190944271e-06,-0.05819479982952616,0.001165494766501639,9.076698959247e-06,True,8.931672299993807
8,3,2pm,100,-0.043882907158004754,0.000700866988304052,1.6644054128245612e-06,-0.03994352251577023,0.0010436152851398196,5.097584209000038e-06,-0.034636634244716635,0.0012143811791316048,8.810239900514891e-06,True,8.824562399997376
8,4,4pm,100,-0.11014877319776674,0.000754577497882516,1.6622597418142141e-06,-0.1045647366432153,0.0011144827239552048,5.128957724860832e-06,-0.09552395099870248,0.0012871256538539533,8.803538678520329e-06,True,9.92070249999233
9,0,8am,100,-0.04492006688829141,0.0006394208952231041,1.3275548308801837e-06,-0.035166383791015235,0.0009314606453119316,4.033262092671138e-06,-0.02320857991239659,0.0010750692060180528,6.938536163391864e-06,True,10.044016600004397
9,1,10am,100,-0.0990469321230389,0.0007116335397220782,1.5989001750177976e-06,-0.09398972290635364,0.0010415922579859091,4.868395098992222e-06,-0.08733168720393723,0.0011899125083185158,8.376301879169241e-06,True,8.896152600005735
9,2,12pm,100,-0.041139807036438894,0.0007504196185126849,2.0639374633552108e-06,-0.03732117000167631,0.001104232303151848,6.362394304602798e-06,-0.03324776501102307,0.001295176026060245,1.0979922538633211e-05,True,9.92215679999208
9,3,2pm,100,0.024955427856847893,0.0009175378792734695,1.1457323408058238e-06,0.025616909110296182,0.0011514795787591072,3.4685965174455123e-06,0.02508393263947696,0.0012658271669639784,5.822115713912621e-06,True,10.004993000009563
9,4,4pm,100,0.00032341181667929104,0.0008345567099769537,1.170135139374424e-06,-0.00020162222568369768,0.0011695712278429085,3.374217142163198e-06,-0.00028066589249125563,0.0013082886764703436,5.685731458292987e-06,True,9.039859800002887
10,0,8am,100,-0.07253256414348878,0.0007981156827465083,1.082677047411626e-06,-0.06371537791961171,0.0011290200724773888,3.3320154920264447e-06,-0.05059561713395506,0.0012778879979853455,5.727034677135639e-06,True,9.957838800008176
10,1,10am,100,-0.016702901827883476,0.0007630531962630838,1.9259654876927837e-06,-0.012416599607161639,0.0011187956222192593,5.890007191919234e-06,-0.009291114618980115,0.0013106584377984565,1.0087989733805658e-05,True,9.168014299997594
10,2,12pm,100,-0.088470110806454,0.0008169618349744939,1.0504772238882303e-06,-0.079744741312429,0.0011388076677517095,3.177599681514679e-06,-0.06730349084979764,0.0012783525204189908,5.38027707080613e-06,True,10.775057699996978
10,3,2pm,100,-0.02062497175483755,0.0009307290335426764,1.996187352828829e-06,-0.021861472017820082,0.001202411556863257,6.137703168404902e-06,-0.023180910262089696,0.0012895893180002612,1.0390657286197821e-05,True,9.951187700004084
10,4,4pm,100,-0.009757166794470043,0.0007102408259393023,1.598820912743768e-06,-0.0030200468451600576,0.0010359513152623507,4.930816578632505e-06,0.008143279181144946,0.0011901041827281377,8.526082572443921e-06,True,9.031154199998127
11,0,8am,100,-0.04958637754222747,0.0006578362477816136,1.5038857467467052e-06,-0.040590718066869556,0.0009775360390665124,4.64049588454348e-06,-0.03108693132805468,0.0011158939373413078,8.016532578906543e-06,True,10.796233400003985
11,1,10am,100,-0.00857350250936163,0.0011713280682421928,2.760250072941473e-06,-0.01675041637881833,0.0016609570900063277,8.560445027758823e-06,-0.009580421411851114,0.001898919809575188,1.484180277706208e-05,True,10.018988499999978
11,2,12pm,100,0.017434951327180554,0.0006816807889038756,1.546227194356638e-06,0.016901377495277658,0.0010058260409371383,4.715585605107327e-06,0.017082239293394183,0.0011777226709450972,8.086112465491706e-06,True,9.01266370000667
11,3,2pm,100,0.014197019965561006,0.0007565176310626576,1.989843615346724e-06,0.013517013868794139,0.0011146026222286106,6.157581568984634e-06,0.01354786078781834,0.001310759845117359,1.062843117488346e-05,True,10.811845200005337
11,4,4pm,100,-0.006900781771734931,0.0010760375847693468,1.7949507452195155e-06,-0.010431270056558244,0.0014268035637603285,5.55690202323948e-06,-0.014786079969922136,0.0016308645303531127,9.42406365140294e-06,True,9.96192560000054
