subject,session_idx,session_name,n_eligible_frames,peak_bin_mode,peak_bin_min,peak_bin_max,peak_hz_median,energy_retention_median,roi_to_total_median,peak_share_median,n_peak_share_missing,all_variants_finite
11,2,12pm,100,5,4,6,4876.722846441948,0.6366171112737751,0.9433367463617701,0.5078114086780572,0,True
11,3,2pm,100,5,5,5,4876.722846441948,0.14351349771606556,0.9641261270556268,0.5449609387942963,0,True
11,4,4pm,100,5,5,5,4876.722846441948,0.13182351569527953,0.9251400459696546,0.568348321360844,0,True
12,0,8am,87,5,5,6,4876.722846441948,0.18429917067649607,0.9279460181893949,0.49663187763044514,0,True
12,1,10am,100,6,6,6,5852.0674157303365,0.32966727166741844,0.9119759878847121,0.5495073336973595,0,True
12,2,12pm,100,5,5,5,4876.722846441948,0.4427148872246479,0.9580462027350205,0.5168232459196075,0,True
12,3,2pm,100,5,4,6,4876.722846441948,0.06974945438358784,0.8771126983100366,0.48164854476636254,0,True
12,4,4pm,91,5,4,5,4876.722846441948,0.23634313347046043,0.9399671155417544,0.4776500852594275,0,True
13,0,8am,100,6,5,6,5852.0674157303365,0.5930237720606489,0.9384429623438462,0.4843367061325238,0,True
13,1,10am,100,6,6,6,5852.0674157303365,0.5565574851258386,0.9262267787374319,0.5149632148799076,0,True
13,2,12pm,100,6,6,6,5852.0674157303365,0.6212219894125104,0.9236891937418787,0.5168344474773184,0,True
13,3,2pm,100,6,6,6,5852.0674157303365,0.6254854259299937,0.9228153677681734,0.5202798668805084,0,True
13,4,4pm,100,6,6,6,5852.0674157303365,0.4154007205304078,0.9289106768968689,0.509914386170861,0,True
14,0,8am,100,6,6,6,5852.0674157303365,0.6027008652589381,0.9269792486256218,0.5137208814456925,0,True
14,1,10am,100,6,6,6,5852.0674157303365,0.6020969147603916,0.926725387499526,0.5157149851096965,0,True
14,2,12pm,100,6,6,6,5852.0674157303365,0.6437702727244834,0.9271846912646142,0.5095882399698854,0,True
14,3,2pm,100,6,6,6,5852.0674157303365,0.5944492546372824,0.9278475859998958,0.5067599300604957,0,True
14,4,4pm,100,6,6,6,5852.0674157303365,0.5902732165010329,0.9280347347565975,0.5118864706977737,0,True
15,0,8am,100,6,6,6,5852.0674157303365,0.6305676054988223,0.9267779133678042,0.5121812099824181,0,True
15,1,10am,100,6,6,6,5852.0674157303365,0.5869576827710673,0.9299497404813288,0.5031478186867455,0,True
15,2,12pm,100,6,6,6,5852.0674157303365,0.5991909018267287,0.9281380612673873,0.49941975631201607,0,True
15,3,2pm,100,6,6,6,5852.0674157303365,0.5318950336449263,0.9289007540087268,0.5128346753799344,0,True
15,4,4pm,100,6,6,6,5852.0674157303365,0.6195363267562461,0.9276387867825444,0.5094062459357194,0,True
16,0,8am,100,5,5,6,4876.722846441948,0.18835287127492634,0.9204748007825757,0.44407208929508823,0,True
16,2,12pm,100,5,5,6,4876.722846441948,0.2558078493372457,0.905707328081676,0.43624812434922067,0,True
16,3,2pm,80,5,5,6,4876.722846441948,0.3557792744699593,0.9346905216969619,0.4825365889707205,0,True
16,4,4pm,100,5,5,5,4876.722846441948,0.1957859658646532,0.9547841635626253,0.5138289199447019,0,True
