subject,session_idx,session_name,rel_path,block_idx,stored_frame_start,stored_frame_stop_exclusive,n_raw,n_pass,pass_fraction,n_nan_inf,n_flatline,n_low_in_band,n_rms_flagged,raw_rms_median,raw_rms_mad,in_band_ratio_median,in_band_ratio_p10,in_band_ratio_p10_margin,energy_retention_median,energy_retention_mad,roi_to_total_median,roi_to_total_mad,peak_share_median,peak_share_mad,peak_bin_median,peak_bin_mad,peak_bin_iqr,peak_bin_mode,peak_bin_mode_share,peak_range_m_median,peak_range_m_mad,component_missing_reasons
13,3,2pm,subject_13_2pm.mat,3,60,80,20,20,1,0,0,0,0,26.006387635830361,0.66718476647489133,0.81186079223596608,0.802490677959244,0.50249067795924396,0.63232060959340008,0.0058343654697340375,0.92267178145657214,0.00016397035074233735,0.51998637916210844,0.00082942994808149484,6,0,0,6,1,1.7965114111421496,0,{}
13,3,2pm,subject_13_2pm.mat,4,80,100,20,20,1,0,0,0,0,25.922542160415155,0.48602705866248108,0.8191050850411693,0.78570202892373608,0.4857020289237361,0.63213201368168637,0.0052038222780586008,0.92277805583790773,0.00020624408640990133,0.51887133422695042,0.00063854068573260259,6,0,0,6,1,1.7965114111421496,0,{}
13,4,4pm,subject_13_4pm.mat,0,0,20,20,20,1,0,0,0,0,35.357713266936827,1.4669594851670027,0.62581772635650235,0.5756052186200562,0.27560521862005621,0.43157529001855433,0.015031638226744304,0.92848961960588272,0.00036995589193944411,0.50998153596419815,0.0029220084243768429,6,0,0,6,1,1.7965114111421496,0,{}
13,4,4pm,subject_13_4pm.mat,1,20,40,20,20,1,0,0,0,0,34.554463551734308,0.8110718652554425,0.60099070129344989,0.5556445568750128,0.25564455687501281,0.40077172020365115,0.021635851780018839,0.92919464853746025,0.00057794246530473714,0.50815116490465639,0.0012164406768450098,6,0,0,6,1,1.7965114111421496,0,{}
13,4,4pm,subject_13_4pm.mat,2,40,60,20,20,1,0,0,0,0,35.270638952008731,1.1151912749531405,0.59271456820493307,0.52872622642737599,0.228726226427376,0.397277808844197,0.013104772876367715,0.92977009566032653,0.00029207768691413838,0.50686231153291672,0.0019764597894061375,6,0,0,6,1,1.7965114111421496,0,{}
13,4,4pm,subject_13_4pm.mat,3,60,80,20,20,1,0,0,0,0,34.411281641252856,0.81766614457206899,0.58038946400402058,0.53954874863723834,0.23954874863723835,0.41588293132603038,0.009668554960996889,0.92902724862836195,0.00032582533092850863,0.51131276768538259,0.0019186754834369379,6,0,0,6,1,1.7965114111421496,0,{}
13,4,4pm,subject_13_4pm.mat,4,80,100,20,20,1,0,0,0,0,34.159571239843601,1.4174367443870892,0.60924555548954717,0.55068327341274115,0.25068327341274116,0.43955824471815158,0.022789585792252876,0.92864002846142124,0.00024420231228289291,0.51155359638140108,0.001466715111194894,6,0,0,6,1,1.7965114111421496,0,{}
14,0,8am,subject_14_8am.mat,0,0,20,20,20,1,0,0,0,0,31.314787368419562,0.69871140767957485,0.78319770059984506,0.76081444483771243,0.46081444483771244,0.58767507069118485,0.016269503780729,0.92677824228049799,0.00052859487669176808,0.51675949091947837,0.0010176072427670046,6,0,0,6,1,1.7965114111421496,0,{}
14,0,8am,subject_14_8am.mat,1,20,40,20,20,1,0,0,0,0,31.065598646592786,0.59173054526748636,0.77648133725957702,0.76488759311415633,0.46488759311415634,0.5864921629598987,0.0095890010858755148,0.92661474832972557,0.00042782643885541649,0.51709244694932854,0.0010497432274763074,6,0,0,6,1,1.7965114111421496,0,{}
14,0,8am,subject_14_8am.mat,2,40,60,20,20,1,0,0,0,0,29.725226102289852,0.36357432439509729,0.80864831394092884,0.77983703936088355,0.47983703936088357,0.61736089163024643,0.0066378273367139196,0.92653538421314674,0.00050531928263336523,0.51424242025806066,0.0011873239299645677,6,0,0,6,1,1.7965114111421496,0,{}
14,0,8am,subject_14_8am.mat,3,60,80,20,20,1,0,0,0,0,28.954342218291067,0.63452370962877858,0.74434442022392866,0.72280167812516771,0.42280167812516772,0.59470877814479906,0.012465748575828273,0.92785895405263752,0.00031494977567753102,0.50782365328839485,0.00055043339928884105,6,0,0,6,1,1.7965114111421496,0,{}
14,0,8am,subject_14_8am.mat,4,80,100,20,20,1,0,0,0,0,28.124554674592876,0.478143858726499,0.77093295706884235,0.7376449583516661,0.43764495835166611,0.61060158362279748,0.0098369687988596466,0.92727412169792101,0.00046904872876935011,0.51138540701900814,0.0010211337007047239,6,0,0,6,1,1.7965114111421496,0,{}
14,1,10am,subject_14_10am.mat,0,0,20,20,20,1,0,0,0,0,28.87193685265008,0.33839015870691114,0.81896781283121278,0.74714476178666267,0.44714476178666268,0.62325689788654892,0.019356412060454908,0.92649787798554595,0.00058816813020595715,0.51513799117885251,0.0014618527897848899,6,0,0,6,1,1.7965114111421496,0,{}
14,1,10am,subject_14_10am.mat,1,20,40,20,20,1,0,0,0,0,29.648344493080721,0.7901263742646627,0.77032334222648702,0.75451532746756034,0.45451532746756035,0.57096233460836032,0.014379186881201822,0.92690097139412142,0.00049152763292331647,0.5181795930467169,0.0025900477032497204,6,0,0,6,1,1.7965114111421496,0,{}
14,1,10am,subject_14_10am.mat,2,40,60,20,20,1,0,0,0,0,28.547042564183748,0.26443729236667401,0.78506149253057811,0.75819616857020755,0.45819616857020756,0.59338622999573565,0.010234621808314748,0.92683084306420871,0.00045563420005179101,0.51608396828079006,0.0022313360060542409,6,0,0,6,1,1.7965114111421496,0,{}
14,1,10am,subject_14_10am.mat,3,60,80,20,20,1,0,0,0,0,28.029667936623227,0.63639615611452527,0.79607775394096036,0.77366275731434453,0.47366275731434454,0.62673390005991503,0.016354987993570491,0.92661778118114135,0.000330975288431401,0.51415364936296137,0.0019494452165328413,6,0,0,6,1,1.7965114111421496,0,{}
14,1,10am,subject_14_10am.mat,4,80,100,20,20,1,0,0,0,0,28.093765784889037,0.34705064848000866,0.79652936587982515,0.77168345697846941,0.47168345697846942,0.61371964914598787,0.0096257645070657594,0.92666374241286542,0.00056879703849860297,0.51579968327453662,0.0026963768752290007,6,0,0,6,1,1.7965114111421496,0,{}
14,2,12pm,subject_14_12pm.mat,0,0,20,20,20,1,0,0,0,0,23.634007779129291,0.52079659206537166,0.79241526111035498,0.7761870302327063,0.47618703023270631,0.64078433544672175,0.0096500288117754573,0.92789620294209052,0.00014639963805096468,0.50771732656801571,0.00078740603248866892,6,0,0,6,1,1.7965114111421496,0,{}
14,2,12pm,subject_14_12pm.mat,1,20,40,20,20,1,0,0,0,0,23.31591524482252,0.67565609340507216,0.80940116674338503,0.79291877514436016,0.49291877514436017,0.64997140884936955,0.013992635050834035,0.92764938647833173,0.00024287522687466145,0.50806025396585031,0.00081536666541903724,6,0,0,6,1,1.7965114111421496,0,{}
14,2,12pm,subject_14_12pm.mat,2,40,60,20,20,1,0,0,0,0,24.010998552140357,0.81308199705328299,0.80988854025843238,0.79789888206269388,0.49789888206269389,0.64931049747520697,0.0091686577911948008,0.92744269363268605,0.00029535353773574302,0.50893450107118055,0.0011827957436786329,6,0,0,6,1,1.7965114111421496,0,{}
14,2,12pm,subject_14_12pm.mat,3,60,80,20,20,1,0,0,0,0,23.417927988071966,0.33963269115295169,0.82038496952456041,0.81449092345378948,0.51449092345378955,0.63979008459220232,0.0065868942729466196,0.9267270728381769,0.00019965960308643282,0.51303474227216905,0.0010600417771131077,6,0,0,6,1,1.7965114111421496,0,{}
14,2,12pm,subject_14_12pm.mat,4,80,100,20,20,1,0,0,0,0,23.819217277042281,0.73368330840662388,0.81739658851148889,0.80993593796358254,0.50993593796358261,0.64266192211388429,0.0045119609673359151,0.92696938867418244,0.00012030019463515895,0.5105307989172132,0.00081934181345333368,6,0,0,6,1,1.7965114111421496,0,{}
14,3,2pm,subject_14_2pm.mat,0,0,20,20,20,1,0,0,0,0,30.026804310059667,0.86851564070111387,0.79728723813067059,0.74197278509756537,0.44197278509756538,0.62075561784113487,0.016952287260742382,0.92760210022381706,0.000673476524514105,0.50576498841479645,0.0021621737848713241,6,0,0,6,1,1.7965114111421496,0,{}
14,3,2pm,subject_14_2pm.mat,1,20,40,20,20,1,0,0,0,0,30.77587726983289,1.0284945104177865,0.75453228530573102,0.73150842401632354,0.43150842401632356,0.5926242112527651,0.0087323748848783245,0.92805191776740248,0.00060233856448516088,0.50405802987092685,0.0026719186624566404,6,0,0,6,1,1.7965114111421496,0,{}
14,3,2pm,subject_14_2pm.mat,2,40,60,20,20,1,0,0,0,0,30.634203365276427,0.66849210474984311,0.76630863738746025,0.71587069587020824,0.41587069587020825,0.59452455164937046,0.010011478228365789,0.92786796394035309,0.00030611666797014658,0.50514379309850843,0.0013657067405968282,6,0,0,6,1,1.7965114111421496,0,{}
14,3,2pm,subject_14_2pm.mat,3,60,80,20,20,1,0,0,0,0,31.219305632484112,0.26938849705402035,0.74306542149117982,0.72800780031970558,0.42800780031970559,0.58888949746283337,0.01136084064695303,0.92769321466158361,0.00020854539921089099,0.51288657798967963,0.0015199870488609712,6,0,0,6,1,1.7965114111421496,0,{}
14,3,2pm,subject_14_2pm.mat,4,80,100,20,20,1,0,0,0,0,31.785320425909873,0.42157462681490721,0.72925628603595438,0.70268117396836038,0.4026811739683604,0.58681323985379608,0.014661364722835968,0.92808957878700005,0.00041888553208085932,0.51034382665461941,0.0014316936253982449,6,0,0,6,1,1.7965114111421496,0,{}
14,4,4pm,subject_14_4pm.mat,0,0,20,20,20,1,0,0,0,0,27.028208173469068,0.37584628687208799,0.75497600146782595,0.72954488665083261,0.42954488665083262,0.59906003818820341,0.011470976692364909,0.92782246874963881,0.00071612158927986114,0.51106883650407964,0.0019159314048742271,6,0,0,6,1,1.7965114111421496,0,{}
14,4,4pm,subject_14_4pm.mat,1,20,40,20,20,1,0,0,0,0,26.741605256093763,0.16887055217337732,0.76952254531124997,0.7418384662610219,0.44183846626102191,0.58959326473116214,0.0085690913022231086,0.92809347820508692,0.00037799217587003442,0.51181055524906593,0.0011235853686969444,6,0,0,6,1,1.7965114111421496,0,{}
14,4,4pm,subject_14_4pm.mat,2,40,60,20,20,1,0,0,0,0,26.880642170853427,0.43075589151937876,0.782054554012659,0.75699011314338138,0.45699011314338139,0.5943427707326896,0.016404301278404643,0.92734740095344725,0.00055788288575764344,0.51382577104198468,0.0012037544528711308,6,0,0,6,1,1.7965114111421496,0,{}
14,4,4pm,subject_14_4pm.mat,3,60,80,20,20,1,0,0,0,0,26.815531856113445,0.37991086166557864,0.77642918063138233,0.7412706372460669,0.44127063724606691,0.59534970115299357,0.011287811536356773,0.92746734535188913,0.00080672123520020289,0.51193541578850066,0.0020299286313405496,6,0,0,6,1,1.7965114111421496,0,{}
14,4,4pm,subject_14_4pm.mat,4,80,100,20,20,1,0,0,0,0,29.103606549538057,0.55638460268926515,0.70766585478036381,0.68207770343545415,0.38207770343545416,0.55191172490260776,0.0074994945287382153,0.92913357749498393,0.00030053838787602594,0.51075713234026154,0.0017048992678838082,6,0,0,6,1,1.7965114111421496,0,{}
15,0,8am,subject_15_8am.mat,0,0,20,20,20,1,0,0,0,0,26.746054808989385,0.34796174228311472,0.76439772302012887,0.74073870065784642,0.44073870065784643,0.60586553938722099,0.011483857568152234,0.92727546369149527,0.00027876542248350678,0.51232644554968709,0.0010272235838072463,6,0,0,6,1,1.7965114111421496,0,{}
15,0,8am,subject_15_8am.mat,1,20,40,20,20,1,0,0,0,0,26.561599573104679,0.27907257369302485,0.77998766918752893,0.75529227367144025,0.45529227367144026,0.61730768246696122,0.0096089880124117233,0.92729383696667811,0.00023886483456192487,0.5124349162946521,0.00081449775327152585,6,0,0,6,1,1.7965114111421496,0,{}
15,0,8am,subject_15_8am.mat,2,40,60,20,20,1,0,0,0,0,25.443436121167963,0.79760499125945117,0.78662782608121096,0.77980271555468927,0.47980271555468929,0.63175493565806451,0.0039076431992388638,0.92666708136321807,0.00016243937262455654,0.51184308091269892,0.00060394101583538529,6,0,0,6,1,1.7965114111421496,0,{}
15,0,8am,subject_15_8am.mat,3,60,80,20,20,1,0,0,0,0,24.903060810486245,0.97411743029239872,0.80401727028337633,0.78223279087260122,0.48223279087260124,0.6477864628390182,0.004878884045156795,0.92631171000633461,0.00023792074616907355,0.51206665444975652,0.00051430099029414755,6,0,0,6,1,1.7965114111421496,0,{}
15,0,8am,subject_15_8am.mat,4,80,100,20,20,1,0,0,0,0,25.791874059008144,0.49131888418760106,0.80482281598793315,0.77886144754127395,0.47886144754127397,0.64552188530449128,0.0097156538327030639,0.92610925825045243,0.00021680562814302418,0.51258406130124845,0.00050831639125031858,6,0,0,6,1,1.7965114111421496,0,{}
15,1,10am,subject_15_10am.mat,0,0,20,20,20,1,0,0,0,0,26.000197942931305,0.86491238212688515,0.73102326957543351,0.70761259732838999,0.40761259732839,0.58547262331042571,0.012422970341893658,0.93022602548665245,0.00013791364920689997,0.50235636061182343,0.0011634386132648444,6,0,0,6,1,1.7965114111421496,0,{}
15,1,10am,subject_15_10am.mat,1,20,40,20,20,1,0,0,0,0,26.436349279042297,0.70010897104066316,0.71834212037683276,0.68578394022693001,0.38578394022693002,0.572834867341385,0.0085284975500006799,0.93003977650227232,0.00024854531683365932,0.50368485402745833,0.00074566423468463983,6,0,0,6,1,1.7965114111421496,0,{}
