subject,session_idx,session_name,rel_path,n_raw,n_pass,pass_fraction,fail_fraction,min_pass_existing_qc,eligible_existing_qc,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,n_rms_flagged,rms_flag_fraction_defined,n_nonfinite_raw,block_0_n_pass,block_1_n_pass,block_2_n_pass,block_3_n_pass,block_4_n_pass,minimum_block_n_pass,raw_rms_median,raw_rms_mad,in_band_ratio_median,in_band_ratio_p10,in_band_ratio_p10_margin,energy_retention_median,energy_retention_mad,roi_to_total_median,roi_to_total_mad,peak_share_median,peak_share_mad,peak_bin_median,peak_bin_mad,peak_bin_iqr,peak_bin_mode,peak_bin_mode_share,peak_range_m_median,peak_range_m_mad,component_missing_reasons,audit_status,repeatability_missing_reason
7,2,12pm,subject_7_12pm.mat,100,100,1,0,50,True,0,0,0,0,75,0.75,0,20,20,20,20,20,20,17.782604153869304,1.2563560410496883,0.56565291908957649,0.51381738270241717,0.21381738270241718,0.26202550935941393,0.030449643501112872,0.96519374328820295,0.0031432729277556803,0.52654369583309868,0.006247327125888491,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
7,3,2pm,subject_7_2pm.mat,100,100,1,0,50,True,0,0,0,0,73,0.72999999999999998,0,20,20,20,20,20,20,19.14377366042752,0.65150950268659535,0.69058611136477988,0.62840566065879011,0.32840566065879012,0.37520453698749739,0.037798392245446955,0.91446159906980984,0.0087886580672142389,0.53671707527989354,0.022965709304195281,6,0,0,6,0.93999999999999995,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
7,4,4pm,subject_7_4pm.mat,100,100,1,0,50,True,0,0,0,0,99,0.98999999999999999,0,20,20,20,20,20,20,12.261886405739233,0.53796813131311172,0.58386504008162876,0.5212192048228409,0.22121920482284091,0.27609709690325046,0.030842152241661175,0.91049099827549917,0.0072553087555163875,0.53513814964217465,0.018597378201223203,6,0,0,6,1,1.7965114111421496,0,{},REPEATABILITY_ANALYSABLE,
8,0,8am,subject_8_8am.mat,100,74,0.73999999999999999,0.26000000000000001,50,True,26,0,0,26,2,0.02,0,20,20,19,7,8,7,20.6457436711983,1.1990569217704472,0.33361907713870986,0.26455253014212032,-0.035447469857879665,0.20075837338415409,0.0120132225967583,0.97700075176907397,0.0029701442231276909,0.55009264566608707,0.0057674691247029397,5,0,0,5,1,1.4970928426184582,0,{},REVIEW_BLOCK_COVERAGE,insufficient_block_coverage
8,1,10am,subject_8_10am.mat,100,100,1,0,50,True,0,0,0,0,0,0,0,20,20,20,20,20,20,18.904982449453129,0.8443370954272158,0.62736093139846838,0.58810210499188087,0.28810210499188088,0.33317758728210822,0.011013025063161985,0.94571003240877349,0.006226616881919167,0.50190500678413097,0.0075666069452927365,5,0,1,5,0.70999999999999996,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
8,2,12pm,subject_8_12pm.mat,100,88,0.88,0.12,50,True,12,0,0,12,47,0.46999999999999997,0,15,20,20,20,13,13,15.53926621446459,0.9560484642274174,0.5067782999124586,0.28890139686333544,-0.011098603136664553,0.28375711873503001,0.078806159634695422,0.96977572433785819,0.011198431117275864,0.53996801532657113,0.021808981593649912,5,0,0,5,0.89772727272727271,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
8,3,2pm,subject_8_2pm.mat,100,100,1,0,50,True,0,0,0,0,100,1,0,20,20,20,20,20,20,13.063595372656787,1.0110682711386527,0.69216084044936887,0.59631625327802462,0.29631625327802463,0.42867840375707722,0.05161793318528865,0.96156353037120024,0.0057761758196016588,0.52410181249201981,0.0080467130411809307,5,0,0,5,1,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
8,4,4pm,subject_8_4pm.mat,100,100,1,0,50,True,0,0,0,0,94,0.93999999999999995,0,20,20,20,20,20,20,16.083145099194752,0.93477737005260142,0.62123797514437862,0.58597308369479206,0.28597308369479207,0.32796450646526931,0.017119774411999023,0.94563890428248487,0.0034216899645767018,0.48647978557238147,0.0049550955784464779,5,0,0.25,5,0.75,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
9,0,8am,subject_9_8am.mat,100,100,1,0,50,True,0,0,0,0,12,0.12,0,20,20,20,20,20,20,16.682487032030355,1.896591199535397,0.88086093940131005,0.8172743396749852,0.51727433967498526,0.62744913632371135,0.048573375983305134,0.95246212063434843,0.0093736884020886868,0.50112320233035557,0.016005738735140218,5,0,0,5,0.80000000000000004,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
9,1,10am,subject_9_10am.mat,100,100,1,0,50,True,0,0,0,0,4,0.040000000000000001,0,20,20,20,20,20,20,17.089023972799986,2.1409958515205769,0.84399042343612041,0.75038487919318841,0.45038487919318843,0.6398946872486414,0.07166892111793921,0.94564812819778021,0.016084448911736493,0.51017767313309415,0.012128825039632696,5,0,1,5,0.65000000000000002,1.4970928426184582,0,{},REPEATABILITY_ANALYSABLE,
