subject,session_a_idx,session_a_name,session_b_idx,session_b_name,recorded_mass_kg,diagnostic_channel,diagnostic_role,tiling_idx,scattering_order,view,between_session_distance,between_distance_numerator,within_a,within_b,epsilon_distance_a,epsilon_distance_b,between_to_within_denominator,between_to_within_ratio,exactly_identical,common_path_count,common_vector_dimension,n_near_zero_path_blocks_a,n_near_zero_path_blocks_b,n_inactive_paths_a,n_inactive_paths_b,missing_reason
5,1,10am,2,12pm,79.799999999999997,mag,primary,2,1,within_path_shape,0.020164203293537269,0.020164203293537269,0.0093317618251273944,0.012622687944790479,8.4929065395058662e-15,1.0702457746394753e-14,0.015697580377639856,1.284542127413459,False,43,215,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,2,1,path_energy_composition,0.72412234087016636,0.72412234087016636,0.11917412592063518,0.18797699826843073,1.0290750408598031e-13,1.4822754332419397e-13,0.22257094187462348,3.2534451028116331,False,43,43,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,2,2,within_path_shape,0.020768088516227776,0.020768088516227776,0.0084715615713295001,0.0093588647153673814,9.0857759635070285e-15,9.921449790493552e-15,0.012623616922949433,1.6451773404555623,False,305,1525,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,mag,primary,2,2,path_energy_composition,0.24157715499656118,0.24157715499656118,0.096202140970261307,0.049447684053218866,8.4554270416888254e-14,5.1895963055942626e-14,0.10816619335767061,2.2333887095179885,False,305,305,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,0,0,within_path_shape,1.5270790041223525,1.5270790041223525,0.23259138007683217,0.18408482304322135,2.3021476438362158e-13,1.5569326923603577e-13,0.29662429462351786,5.1481926187487614,False,1,12,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,0,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,0,1,within_path_shape,0.35330775619829102,0.35330775619829102,0.06050684107254084,0.058989467244323114,1.2567637738093842e-13,6.9877384144424407e-14,0.084503461836464344,4.1809855894665153,False,55,660,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,0,1,path_energy_composition,0.22610237453820003,0.22610237453820003,0.029573718842294018,0.044387656026683264,3.6278501634788043e-14,3.9044731561582919e-14,0.053337312021756476,4.2391032837570082,False,55,55,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,0,2,within_path_shape,0.58222312784544372,0.58222312784544372,0.20150149608085927,0.055474844437849204,2.0842688152516578e-13,8.4056134263535999e-14,0.20899835235768752,2.7857785541247018,False,686,8232,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,0,2,path_energy_composition,0.40227599153672422,0.40227599153672422,0.025015861439971573,0.070524301010627871,2.5388046433064311e-14,7.2104889254375633e-14,0.074829608823122312,5.3758932842693294,False,686,686,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,1,0,within_path_shape,1.4392177352327244,1.4392177352327244,0.17287274545180698,0.13175465359352459,1.7580323124379581e-13,1.2508901625863942e-13,0.21735748172905139,6.6214317712182194,False,1,10,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,1,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,1,1,within_path_shape,0.3142006179244512,0.3142006179244512,0.053439222605260531,0.053466700079426999,1.2900126498382363e-13,6.9507165714028094e-14,0.075593905376280079,4.1564279072561492,False,54,540,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,1,1,path_energy_composition,0.26100904359608035,0.26100904359608035,0.053737809448894107,0.058127483171418595,4.6955093196487205e-14,4.6803308990378779e-14,0.079161584523108203,3.2971680035016067,False,54,54,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,1,2,within_path_shape,0.2799810430041505,0.2799810430041505,0.078552654017959342,0.06610350060057571,1.633035306780746e-13,8.7591464004026785e-14,0.1026654384148606,2.7271207070949774,False,411,4110,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,1,2,path_energy_composition,0.23788158983300062,0.23788158983300062,0.014324824347882016,0.050745489853579101,2.3312970293802537e-14,5.7354136559756075e-14,0.052728600712301982,4.5114337687611163,False,411,411,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,2,0,within_path_shape,1.3472231339284839,1.3472231339284839,0.19915639856774736,0.11579354718387527,1.3353407465021488e-13,1.092238571678237e-13,0.23037234352217673,5.848024608035443,False,1,10,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,2,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,2,1,within_path_shape,0.32441189188209041,0.32441189188209041,0.053894170245406943,0.045797074769564919,1.2825600516648083e-13,6.9032606760735447e-14,0.070724491117929056,4.5869809277404636,False,43,430,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,2,1,path_energy_composition,0.19485091782955224,0.19485091782955224,0.032209839630712209,0.052605222796385451,3.9889685542216804e-14,4.2709575924122558e-14,0.061682924983284884,3.158911771488687,False,43,43,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,2,2,within_path_shape,0.22116137119185358,0.22116137119185358,0.067620244665352811,0.063495540514264884,1.5957753201540402e-13,9.2323280497812045e-14,0.092758725486073973,2.3842648767857093,False,305,3050,0,0,0,0,
5,1,10am,2,12pm,79.799999999999997,iq,sensitivity,2,2,path_energy_composition,0.21543222336973045,0.21543222336973045,0.010983645012637808,0.044011124067815308,2.2503464641413585e-14,5.3014190046659194e-14,0.045360990944602116,4.7492838865189411,False,305,305,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,0,0,within_path_shape,0.44816829372655215,0.44816829372655215,0.058115088422440314,0.092456721924470409,1.1549125300537212e-13,1.494998872318441e-13,0.10920443640881493,4.1039385254349998,False,1,6,0,0,0,0,
6,3,2pm,4,4pm,49.700000000000003,mag,primary,0,0,path_energy_composition,,,,,,,,,,,,,,,,not_applicable_single_path
6,3,2pm,4,4pm,49.700000000000003,mag,primary,0,1,within_path_shape,0.078846355071976737,0.078846355071976737,0.052035326942587515,0.029422784536240001,8.9670746775298685e-14,6.2386947134066293e-14,0.059777717419519941,1.3189924017779588,False,55,330,0,0,0,0,
