subject,session_idx,session_name,rel_path,n_frames,n_pass,n_fail_any,n_nan_inf,n_flatline,n_low_in_band,min_pass,eligible,sha256,axis_spec_hash,axis_verdict,axis_G_fast,axis_G_chirp,axis_D_chirp,axis_D_fast
7,2,12pm,subject_7_12pm.mat,125,102,23,0,0,23,63,True,4c4daed1e3e4ff9b1e56ae98dcee016f818c928d1165179a0e02136ff79c4a36,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.1916910318703915,1.283370352918037e-06,0.9999875103612622,0.5521426678069902
7,3,2pm,subject_7_2pm.mat,125,0,125,0,0,125,63,False,40ed112a5842b32d89a43c058d89883ceb9669bc45ec8de126959233313e8685,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.16578345809681871,1.3407750013244881e-06,0.9999851280439198,0.6028905723957529
7,4,4pm,subject_7_4pm.mat,125,125,0,0,0,0,63,True,5a501b19efbbca247c61e2e8e3b4b1c26adec118fa041b8aa15e522655d0d908,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.24391076290888966,1.294224722415452e-06,0.9999825643711396,0.46184059825741136
8,0,8am,subject_8_8am.mat,125,2,123,0,0,123,63,False,beed954eccedd27a23e1d8b40f9b2de747ace5cf49332b478e54eb7a1bd40f17,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.17503375822880046,1.3182773737187853e-06,0.9999866620491926,0.5833045999483417
8,1,10am,subject_8_10am.mat,125,125,0,0,0,0,63,True,54b1494c347ef7e506ab41c5098a8814d96eba8d3bdfa15450997203b80e5cdf,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21474721279356446,1.3173265691736943e-06,0.9999860709407793,0.5016317675497929
8,2,12pm,subject_8_12pm.mat,125,125,0,0,0,0,63,True,ae730cbbbec139ab77bf6256f32d2bc7f89901bf7ed257a016555afe0229e7c1,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20880425437089203,1.267645230565518e-06,0.9999841238962088,0.505105677590508
8,3,2pm,subject_8_2pm.mat,125,125,0,0,0,0,63,True,763308454c535ba08c645c1ba15c0121c13b944cfe8b6aa0ab05eb9d2ff2f6ae,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20795086914118507,1.3158515840836016e-06,0.999983767232292,0.493809848289164
8,4,4pm,subject_8_4pm.mat,125,125,0,0,0,0,63,True,925344a70671e60a938d001a21027ebb77ae76da4a1cd19900cfa86fab2a8790,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2189202643701542,1.2869557737179753e-06,0.9999872381671967,0.4569178739673616
9,0,8am,subject_9_8am.mat,125,125,0,0,0,0,63,True,fc899671912db4ca11621cc887e977822bad8a12ab72a70b6453921a170b1a65,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2084174335519331,1.2950903431541866e-06,0.999983696334487,0.5058407320208468
9,1,10am,subject_9_10am.mat,125,16,109,0,0,109,63,False,9e8a9cbdba1834d14316623cd6322fc283b9c5d346a1319223f735a927895ccb,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.17639436864389632,1.2965011487918967e-06,0.9999850629852346,0.5609398951634067
9,2,12pm,subject_9_12pm.mat,125,114,11,0,0,11,63,True,db583dd610a7c7241ea4e0de1fa2b542cdd8cd722bdac834cbfbf316b63cf3e0,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.19180811426733846,1.3360807354910499e-06,0.9999855171410839,0.5390219050985449
9,3,2pm,subject_9_2pm.mat,125,0,125,0,0,125,63,False,e9209a73b5b410e1c7f632ca80213d7db1a0bb7ad49a10583378bb14e442d31f,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.16657040267461515,1.2641804456287418e-06,0.9999857557729812,0.5652580263999172
9,4,4pm,subject_9_4pm.mat,125,125,0,0,0,0,63,True,a055e20b0bc1cd11f6298cfb1725b6799351f4df0dfcdc48d48c7501c96d19ca,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.24055868474169936,1.390907868629412e-06,0.9999785986743659,0.4577627392143095
10,0,8am,subject_10_8am.mat,125,125,0,0,0,0,63,True,6649bac8d4d31aa820a38190546154433c6918c093904ecf1cf58d81a0c49f8a,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2038441719376072,1.2609229473224544e-06,0.9999861662617275,0.534653305811787
10,1,10am,subject_10_10am.mat,125,125,0,0,0,0,63,True,49e90f632cd0b7fd1b45a596cdbeb0f9bf70befc2af4b348a22df1332a4fc94e,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2239581007872606,1.2688825849862288e-06,0.9999844397113251,0.47711543030752235
10,2,12pm,subject_10_12pm.mat,125,125,0,0,0,0,63,True,c43ec65617af3fa39c5c1436b4a691598ef39077dd9e8279c78bf6f147a41955,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21366212753758515,1.3313000779202226e-06,0.9999834907258898,0.5025775880147577
10,3,2pm,subject_10_2pm.mat,125,125,0,0,0,0,63,True,2ea531ecacaa541e442447b01af73f99559bac88a1fd6e289634934f9bc74ae0,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2170073642885054,1.3590824485144547e-06,0.9999845522539423,0.5004501426593432
10,4,4pm,subject_10_4pm.mat,125,125,0,0,0,0,63,True,f0847dcb7fd7b6cc624f76e980b3030099187947e24ce4b393005fcf5bba77df,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22985012694140686,1.2994622778736315e-06,0.9999853732326379,0.4753711961157421
11,0,8am,subject_11_8am.mat,125,125,0,0,0,0,63,True,d6f1fd5e973d5deaeb0cdf5bf1ead532e77d3c6ce105ed43bfe3835a78353f06,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21921072070979447,1.2491981251742596e-06,0.9999875610719099,0.5137252657976338
11,1,10am,subject_11_10am.mat,125,125,0,0,0,0,63,True,204e440fdc63263d50798211129b4b37ebbe92563c46485c96701efa5832111f,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.26372309361888047,1.576358096892082e-06,0.9999807324630557,0.43259325895371364
11,2,12pm,subject_11_12pm.mat,125,125,0,0,0,0,63,True,df81bd5fb35c71f45ee085248b2a7f054020e074b11e3607a0fdf32f32bda359,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2341677875129051,1.2995471035584288e-06,0.999987696533123,0.4855432204266818
11,3,2pm,subject_11_2pm.mat,125,125,0,0,0,0,63,True,637a20c423b70e61050f11d84f63249d4559b573bf3caac5490d9300c53ebb76,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2351148710313763,1.2604251113837974e-06,0.9999860903745663,0.47648659932601606
11,4,4pm,subject_11_4pm.mat,125,125,0,0,0,0,63,True,134490e510fed2d52e83249c33f67311b1aa6f366ca97deaeef87358af9081b0,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21362955335456366,1.2542255332060717e-06,0.9999866408264287,0.512686542493248
12,0,8am,subject_12_8am.mat,125,125,0,0,0,0,63,True,090264d12407e669cf35990ed4650c9e5fe377553fa1f2629900e0722456bc61,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23620798368408868,1.6868924365880416e-06,0.9999778107275709,0.48422491804651857
12,1,10am,subject_12_10am.mat,125,125,0,0,0,0,63,True,620c83415c6157ba2fcb1360e0055fedf5be15c74cfd1a4b325defbc229889ba,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2192151993928461,1.272672267510685e-06,0.9999875411390279,0.5008613533353874
12,2,12pm,subject_12_12pm.mat,125,125,0,0,0,0,63,True,9d1d4a01e8bb48b223aaac9a5621d9819bd7de0cd7011490f8a37121e4146201,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22353106042594664,1.2675109582463814e-06,0.999983293097545,0.4965510011115843
12,3,2pm,subject_12_2pm.mat,125,125,0,0,0,0,63,True,5cb172bef32d1cf24c511b3444d0cf39688e5dcf1574a87438d06b20b7c673ad,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21465418412582066,1.337250386558251e-06,0.9999736465709121,0.5191933959948124
12,4,4pm,subject_12_4pm.mat,125,125,0,0,0,0,63,True,0c4ecbc972b178cd62702db017c129ab2c1f62888f10515f6b8d7ed40611e30e,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20103391693474335,1.2661324113901194e-06,0.9999774238322141,0.5433522670867871
13,0,8am,subject_13_8am.mat,125,125,0,0,0,0,63,True,3fe1bc40e8ec01bb22586d885e82622c0802b90e1503c747dffd7abd9ced71f1,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.20972385623230852,1.2547138330627274e-06,0.999985706024011,0.5260456206136468
13,1,10am,subject_13_10am.mat,125,125,0,0,0,0,63,True,e16b99d734fa24dedeff7808195f4f8666267170f090395412ab708d84138fc8,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21597739132186894,1.2933631705946745e-06,0.9999864148234359,0.517407533499545
13,2,12pm,subject_13_12pm.mat,125,125,0,0,0,0,63,True,555b9b897030f063a1cb11e98cd16fdf9e3b1e3fff73edf14f2861a9df1c3e2f,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.21682108643678996,1.287760291599274e-06,0.9999808970442633,0.5050868661270722
13,3,2pm,subject_13_2pm.mat,125,125,0,0,0,0,63,True,ef208b9410faad4ecf55c24f7d209fc55d7312a622b96521bc94dc707ec8118a,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22880895988774935,1.2997111109672717e-06,0.9999865748480179,0.49522621244829523
13,4,4pm,subject_13_4pm.mat,125,125,0,0,0,0,63,True,f72fd3a0a99f263f9ba359aeeb288487348434f749616b68e03910ee3a050a55,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23476980232097747,1.3124940717583148e-06,0.9999833582470088,0.48051620830400477
14,0,8am,subject_14_8am.mat,125,125,0,0,0,0,63,True,2cd8866158484c28dc959470a9d796c75abddf86169113431b2e570d16ec81b1,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.2174858142015364,1.2620322312924405e-06,0.9999868251331954,0.5191668062990249
14,1,10am,subject_14_10am.mat,125,125,0,0,0,0,63,True,aa340a0e02085bbd01f63df77cfec9069742d615071bd7df8ca5ae469620384a,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.22431610978949446,1.3320268556987529e-06,0.9999805675633859,0.5052684225855711
14,2,12pm,subject_14_12pm.mat,125,125,0,0,0,0,63,True,031d0441d691568fd0dd4ba50a34f0734a3b4b4d3170b70b5eec2608c4110831,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23828178536718858,1.2639821869475326e-06,0.9999878062227903,0.482078990357194
14,3,2pm,subject_14_2pm.mat,125,125,0,0,0,0,63,True,bd4b8ee3b0a8e73eb5ff86155a8af6d1849227c3984e96b95035c8e304f07b35,d7c0d39be9f1819d340c3174f8325a61f81b2109f7cd43be1d0c94b9673737d3,ACCEPTED,0.23603868953767185,1.298228575327166e-06,0.999987294931999,0.4896960768434971
